11711222,0,0
11711223,1,1
11711224,1,0
11711230,1,2
11711231,1,0
11711232,0,2
11711233,0,2
11711234,1,0
11711235,1,0
11711301,1,0
11711302,1,0
11711303,1,0
11711304,1,0
11711305,0,2
11711306,1,0
11711307,0,1
11711308,1,0
11711309,1,0
11711310,1,0
11711311,1,0
11711312,1,0
11711313,1,0
11711314,1,0
11711315,0,2
11711316,0,2
11711317,1,2
11711318,0,0
11711319,1,0
11711320,1,2
11711321,1,0
11711322,1,0
11711323,1,0
11711324,0,1
11711330,1,0
11711331,1,0
11711332,1,0
11711333,1,0
11711334,1,1
11711335,1,0
11711401,1,1
11711402,1,2
11711403,0,0
11711405,1,2
11711406,1,0
11711407,0,0
11711408,1,0
11711409,0,2
11711410,1,0
11711411,0,1
11711412,0,0
11711413,1,0
11711414,1,0
11711415,0,2
11711416,1,0
11711417,1,2
11711418,0,0
11711419,1,0
11711421,1,0
11711422,0,2
11711423,1,0
11711424,1,0
11711430,0,2
11711431,0,0
11711432,1,0
11711433,1,0
11711434,0,2
11711435,1,0
11711436,1,0
11711501,1,0
11711502,1,0
11711503,0,0
11711504,1,2
11711505,1,0
11711506,1,2
11711507,0,0
11711508,0,1
11711509,0,2
11711510,1,0
11711511,1,1
11711512,0,0
11711513,1,0
11711514,1,0
11711515,1,0
11711516,0,0
11711517,1,0
11711518,1,0
11711519,1,0
11711520,0,2
11711522,0,0
11711523,0,0
11711524,1,2
11711530,1,2
11711531,1,0
11711532,1,0
11711533,0,2
11711534,0,0
11711535,1,0
11711536,1,0
11711602,1,2
11711603,0,2
11711604,0,2
11711605,1,0
11711606,0,2
11711607,0,1
11711608,0,0
11711609,0,0
11711610,1,0
11711611,1,2
11711612,1,0
11711613,1,0
11711614,1,1
11711615,1,2
11711616,0,2
11711617,0,2
11711618,1,2
11711619,0,0
11711620,1,0
11711621,1,0
11711622,0,0
11711623,1,1
11711631,1,0
11711632,1,0
11711633,0,0
11711634,1,0
11711635,1,0
11711636,1,0
11711701,0,2
11711703,1,0
11711705,1,0
11711706,0,2
11711707,1,0
11711708,0,2
11711709,0,0
11711710,1,0
11711711,1,2
11711712,1,0
11711713,0,1
11711715,1,2
11711716,1,0
11711717,0,0
11711718,0,2
11711719,1,2
11711720,1,1
11711721,0,0
11711722,1,0
11711723,1,0
11711724,0,2
11711731,1,0
11711732,1,0
11711733,0,2
11711734,1,0
11711735,1,0
11711736,1,0
11711801,0,0
11711802,1,2
11711803,0,0
11711804,0,2
11711805,1,0
11711806,1,2
11711807,1,2
11711808,1,0
11711809,1,0
11711810,1,2
11711811,1,0
11711812,1,0
11711813,1,0
11711814,1,0
11711815,1,2
11711816,0,0
11711817,1,0
11711818,0,0
11711819,0,0
11711820,0,0
11711821,1,0
11711822,1,1
11711823,1,0
11711824,1,0
11711831,1,2
11711832,1,0
11711833,0,0
11711834,1,0
11711835,0,2
11711836,1,0
11711901,1,2
11711902,1,0
11711903,0,0
11711904,1,0
11711905,1,0
11711906,0,2
11711907,1,1
11711908,1,2
11711909,1,0
11711910,0,0
11711911,1,0
11711912,1,0
11711913,1,2
11711914,0,0
11711915,1,0
11711916,1,2
11711917,1,1
11711918,1,2
11711919,1,2
11711920,1,0
11711921,1,2
11711922,1,0
11711923,1,0
11711924,1,2
11711931,0,0
11711933,1,0
11711934,1,0
11711935,1,0
11711936,0,2
11712001,1,0
11712002,1,0
11712003,0,1
11712004,0,2
11712005,1,2
11712006,0,0
11712007,0,2
11712008,1,0
11712009,1,2
11712010,1,0
11712011,1,0
11712012,1,1
11712013,0,2
11712014,1,2
11712015,0,2
11712016,0,2
11712017,1,0
11712018,1,0
11712019,0,2
11712020,0,1
11712021,1,0
11712022,0,2
11712023,0,0
11712024,0,0
11712031,1,0
11712032,1,0
11712033,1,0
11712034,0,0
11712035,1,0
11712036,1,0
11712101,1,0
11712102,0,2
11712103,1,0
11712104,1,0
11712105,1,0
11712106,1,0
11712107,1,0
11712108,0,0
11712109,0,1
11712110,1,0
11712111,1,0
11712112,0,0
11712113,1,0
11712114,0,0
11712115,1,2
11712116,1,0
11712117,1,0
11712118,1,0
11712120,1,0
11712121,1,0
11712122,1,0
11712123,1,2
11712124,0,0
11712125,0,0
11712126,1,2
11712127,1,0
11712128,1,0
11712131,0,0
11712132,1,0
11712133,1,0
11712134,1,0
11712135,1,2
11712136,1,0
11712137,0,0
11712138,0,0
11712201,0,2
11712202,1,0
11712203,1,2
11712204,1,0
11712205,1,1
11712206,1,0
11712207,1,1
11712208,0,2
11712209,1,0
11712210,1,2
11712211,1,1
11712212,1,2
11712213,0,2
11712214,1,0
11712215,1,0
11712216,1,0
11712218,1,0
11712219,1,0
11712220,1,0
11712221,1,0
11712222,1,0
11712223,1,1
11712224,1,1
11712225,1,0
11712226,0,0
11712227,1,0
11712228,0,0
11712231,1,0
11712232,1,0
11712233,1,0
11712234,1,0
11712235,1,0
11712236,1,0
11712237,1,0
11712238,1,0
11712301,0,0
11712302,0,0
11712303,1,0
11712304,1,2
11712305,1,0
11712306,0,0
11712307,0,0
11712308,0,0
11712309,1,2
11712310,1,0
11712311,1,0
11712312,0,0
11712313,1,0
11712314,1,2
11712315,1,2
11712316,1,0
11712317,1,0
11712318,1,0
11712319,0,0
11712320,1,0
11712321,1,0
11712322,1,0
11712323,0,0
11712324,1,0
11712325,0,0
11712326,0,0
11712327,1,0
11712328,1,0
11712331,1,0
11712332,1,1
11712333,0,0
11712334,1,0
11712335,0,0
11712336,1,0
11712337,1,0
11712338,1,1
11712401,1,0
11712402,1,2
11712403,1,2
11712404,0,0
11712405,1,0
11712406,1,2
11712407,1,0
11712408,1,0
11712409,0,0
11712410,1,0
11712411,1,0
11712412,1,0
11712413,1,2
11712414,1,0
11712415,0,1
11712416,0,2
11712417,1,2
11712418,1,0
11712419,1,0
11712420,1,0
11712421,1,0
11712423,1,1
11712424,1,2
11712425,0,2
11712426,1,0
11712427,1,2
11712428,1,0
11712431,1,0
11712432,1,0
11712433,0,2
11712434,1,0
11712435,0,0
